Iteración 	 tiempo de ejecución 
0	102.36823153495789
1	102.27293372154236
2	103.80224323272705
3	104.19004821777344
4	106.52430534362793
5	101.81000232696533
6	104.37365007400513
7	103.92200779914856
8	102.54616808891296
9	102.0764594078064
10	101.07792639732361
11	104.1884298324585
12	105.01590776443481
13	101.65205311775208
14	103.46380805969238
15	100.33418226242065
16	100.32027626037598
17	102.84068059921265
18	104.20983505249023
19	101.31581926345825
20	101.19951343536377
21	102.41821360588074
22	102.49654078483582
23	107.06019043922424
24	104.31924653053284
25	100.25858044624329
26	104.3658218383789
27	103.43157720565796
28	101.34029746055603
29	101.02550721168518
