Iteración 	 tiempo de ejecución 
0	103.63038301467896
1	104.4270224571228
2	103.08182573318481
3	105.15747499465942
4	101.45413374900818
5	105.05736303329468
6	102.34031200408936
7	102.53835558891296
8	103.13534617424011
9	104.53651762008667
10	101.50541973114014
11	103.61356711387634
12	100.7898941040039
13	103.21653652191162
14	102.71306848526001
15	106.75940561294556
16	101.58332777023315
17	103.45110607147217
18	102.08261108398438
19	106.58929443359375
20	106.53021168708801
21	100.65518927574158
22	104.1018853187561
23	104.75023603439331
24	100.25206756591797
25	102.97689604759216
26	102.5177800655365
27	105.25497794151306
28	102.35208582878113
29	105.159348487854
